odom.stamp,odom.orientation.x,odom.orientation.y,odom.orientation.z,odom.orientation.w,us1.range,us2.range,us3.range,us4.range,us5.range,us6.range,odom.position.x,odom.position.y
4.296,-6.654977806086036e-05,0.0023523485292739764,-0.0028795267048934764,0.9999930851528324,5.0,5.0,5.0,5.0,5.0,5.0,-0.0020017161212137757,-0.0028698195903514353
4.398,-4.959655603502219e-05,0.00233527806562558,-0.0029499160044982467,0.9999929209809959,5.0,5.0,5.0,5.0,5.0,5.0,-0.0020512209619019117,-0.0029374235781310883
4.5,-5.597334366201718e-05,0.002343510177258222,-0.0030165832269533907,0.9999927024997076,5.0,5.0,5.0,5.0,5.0,5.0,-0.002099203621237,-0.0030071340941296965
4.602,-6.302764777809429e-05,0.002350207915174461,-0.003098462236314897,0.9999924360124137,5.0,5.0,5.0,5.0,5.0,5.0,-0.0021505883913716384,-0.003089557825986629
4.704,-5.0663537085148565e-05,0.0023346972729711324,-0.003167604835791784,0.9999922564207455,5.0,5.0,5.0,5.0,5.0,5.0,-0.002197127168338142,-0.0031621065114537644
4.789,-5.376898528000394e-05,0.0023403908200430716,-0.003229128777420314,0.9999920461718906,5.0,5.0,5.0,5.0,5.0,5.0,-0.0022363341614074217,-0.0032238612000861705
4.891,-6.2374053527123e-05,0.0023510410283401743,-0.003294795037629605,0.9999918064870436,5.0,5.0,5.0,5.0,5.0,5.0,-0.002282682140957476,-0.003295279210861801
4.993,-6.274557995208334e-05,0.0023506485833423526,-0.0033694409203608184,0.999991558655429,5.0,5.0,5.0,5.0,5.0,5.0,-0.0023298791989125878,-0.003373106331166397
5.095,-5.964123726816369e-05,0.0023476681625761494,-0.0034431770470519014,0.9999913146767546,5.0,5.0,5.0,5.0,5.0,5.0,-0.0023850089571463007,-0.0034424331160795695
5.197,-5.981691282909259e-05,0.0023507403668864323,-0.0034872966710539017,0.9999911545626755,5.0,5.0,5.0,5.0,5.0,5.0,-0.002425571083636835,-0.0034802238058036436
5.299,-4.6353314221894504e-05,0.002331705941906278,-0.003577492726214545,0.9999908812307065,5.0,5.0,5.0,5.0,5.0,5.0,-0.0024781563032676146,-0.0035745319327677473
5.401,-4.883269415393419e-05,0.0023353893981139916,-0.0036429711463555614,0.9999906361226358,5.0,5.0,5.0,5.0,5.0,5.0,-0.0025261920314299247,-0.003641274025129484
5.503,-3.927804029722684e-05,0.0023259941901074203,-0.003705748223584718,0.9999904277733696,5.0,5.0,5.0,5.0,5.0,5.0,-0.0025730324960653583,-0.003703043524413698
5.588,-7.495810536293753e-05,0.0023205035112910228,-0.003776636798192533,0.9999901732813334,5.0,5.0,5.0,5.0,5.0,5.0,-0.0026168277847118115,-0.003785108632972512
5.6899999999999995,-4.853786198390774e-05,0.002339219232323219,-0.00384506860995009,0.9999898705211189,5.0,5.0,5.0,5.0,5.0,5.0,-0.002666947975154016,-0.0038466278069839346
5.792,-3.719648337729479e-05,0.002324364496045505,-0.003915135239598695,0.9999896337773542,5.0,5.0,5.0,5.0,5.0,5.0,-0.002714952352682015,-0.003912948781995723
5.894,-7.796800507525659e-05,0.002339361271121121,-0.003981432504738387,0.9999893346956474,5.0,5.0,5.0,5.0,5.0,5.0,-0.0027676253483583657,-0.003992126309849818
